Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.0025,7.1125,7.00125,7.095,5.129958,11443200
2010-01-05,7.0875,7.125,7.04875,7.1225,5.149841,8181600
2010-01-06,7.0725,7.0725,6.97,7.01375,5.071211,11821600
2010-01-07,6.885,6.89625,6.7775,6.8,4.916661,20374400
2010-01-08,6.72125,6.85625,6.69375,6.8175,4.929315,11551200
2010-01-11,6.83625,6.875,6.7575,6.85375,4.955524,14999200
2010-01-12,7.21875,7.33,7.16875,7.20625,5.210394,34623200
2010-01-13,7.32125,7.39125,7.2425,7.32,5.292642,14494400
2010-01-14,7.305,7.3725,7.2975,7.34375,5.309813,10765600
2010-01-15,7.32125,7.34375,7.18875,7.2425,5.236605,14042400
2010-01-19,7.2375,7.32875,7.23,7.315,5.289026,8059200
2010-01-20,7.235,7.24875,7.0825,7.1375,5.160686,13092000
2010-01-21,7.125,7.19625,6.92375,6.98125,5.047711,16345600
2010-01-22,6.98375,6.99,6.7625,6.76375,4.890451,15756800
2010-01-25,6.83125,6.8875,6.7925,6.8125,4.925699,10936000
