Date,close,volume_shock_yes_no,volume_shock_direction,price_shock_yes_no,price_shock_direction,scaled_volume
2010-01-04,7.095,0,0,0,0,0.07080672769016154
2010-01-05,7.1225,0,0,0,1,0.04854671081906707
2010-01-06,7.01375,1,1,0,0,0.07338926092048474
2010-01-07,6.8,1,1,0,0,0.13176106380713445
2010-01-08,6.8175,0,0,0,1,0.07154381434152228
2010-01-11,6.85375,1,1,0,1,0.09507598817385418
2010-01-12,7.20625,1,1,1,1,0.22900736267666194
2010-01-13,7.32,0,0,0,1,0.09163079056638285
2010-01-14,7.34375,0,0,0,1,0.06618219144051302
2010-01-15,7.2425,1,1,0,0,0.08854594643291011
