Date,close,close_1,close_2,close_3,close_4,close_5,close_6
2010-01-13,7.095,7.1225,7.01375,6.8,6.8175,6.85375,7.20625
2010-01-14,7.1225,7.01375,6.8,6.8175,6.85375,7.20625,7.32
2010-01-15,7.01375,6.8,6.8175,6.85375,7.20625,7.32,7.34375
2010-01-16,6.8,6.8175,6.85375,7.20625,7.32,7.34375,7.2425
2010-01-17,6.8175,6.85375,7.20625,7.32,7.34375,7.2425,7.315
2010-01-20,6.85375,7.20625,7.32,7.34375,7.2425,7.315,7.1375
2010-01-21,7.20625,7.32,7.34375,7.2425,7.315,7.1375,6.98125
2010-01-22,7.32,7.34375,7.2425,7.315,7.1375,6.98125,6.76375
2010-01-23,7.34375,7.2425,7.315,7.1375,6.98125,6.76375,6.8125
2010-01-24,7.2425,7.315,7.1375,6.98125,6.76375,6.8125,6.7575
